year,Country list,pop_trend,id,mean_tmax,mean_tmin
1979,Norway,1,8122,8.233333333333334,3.9499999999999997
1979,Norway,1,2556,8.233333333333334,3.9499999999999997
1980,Norway,0,2555,9.091666666666667,4.825
1980,Norway,0,8126,9.091666666666667,4.825
1980,Norway,0.804915514592934,8122,9.091666666666667,4.825
1980,Norway,0,2553,9.091666666666667,4.825
1980,Norway,0.8303347756775222,2556,9.091666666666667,4.825
1981,Norway,0.1954610506018288,2555,8.733333333333333,4.216666666666667
1981,Norway,0.29395973154362426,8126,8.733333333333333,4.216666666666667
1981,Norway,0.8847926267281107,8122,8.733333333333333,4.216666666666667
1981,Norway,0.3783783783783784,2553,8.733333333333333,4.216666666666667
1981,Norway,0.9073950699533644,2554,8.733333333333333,4.216666666666667
1981,Norway,0.8878387611022546,2556,8.733333333333333,4.216666666666667
1982,Norway,0.21809704584143053,2555,9.566666666666666,5.083333333333333
1982,Norway,0.33154362416107386,8126,9.566666666666666,5.083333333333333
1982,Norway,0.7680491551459295,8122,9.566666666666666,5.083333333333333
1982,Norway,0.722972972972973,2553,9.566666666666666,5.083333333333333
1982,Norway,0.8927381745502998,2554,9.566666666666666,5.083333333333333
1982,Norway,0.80539740378046,2556,9.566666666666666,5.083333333333333
1983,Norway,0.21798406170440346,2555,9.258333333333333,4.791666666666667
1983,Norway,0.312751677852349,8126,9.258333333333333,4.791666666666667
1983,Norway,0.5069124423963135,8122,9.258333333333333,4.791666666666667
1983,Norway,0.5844594594594594,2553,9.258333333333333,4.791666666666667
1983,Norway,0.5545192094159449,2554,9.258333333333333,4.791666666666667
1983,Norway,0.5442951491687543,2556,9.258333333333333,4.791666666666667
1984,Norway,0.33640552995391704,8122,9.516666666666666,5.1
1984,Norway,0.4807905840550745,2554,9.516666666666666,5.1
1984,Norway,0.4217718059667502,2556,9.516666666666666,5.1
1985,Norway,0.27498531206218657,2555,8.95,4.283333333333333
1985,Norway,0.41208053691275154,8126,8.95,4.283333333333333
1985,Norway,0.24731182795698928,8122,8.95,4.283333333333333
1985,Norway,0.8043526537863646,2554,8.95,4.283333333333333
1985,Norway,0.3265770895012526,2556,8.95,4.283333333333333
1986,Norway,0.15360983102918588,8122,8.933333333333334,4.5
1986,Norway,0.4514767932489451,2554,8.933333333333334,4.5
1986,Norway,0.24777954907765884,2556,8.933333333333334,4.5
1987,Norway,0.26442807429836857,2555,9.225,4.858333333333333
1987,Norway,0.39194630872483205,8126,9.225,4.858333333333333
1987,Norway,0.024577572964669763,8122,9.225,4.858333333333333
1987,Norway,0.6426826560071063,2554,9.225,4.858333333333333
1987,Norway,0.14074242769300843,2556,9.225,4.858333333333333
1988,Norway,0.40954038053057357,2555,9.558333333333334,5.25
1988,Norway,0.6040268456375839,8126,9.558333333333334,5.25
1988,Norway,0.01843317972350235,8122,9.558333333333334,5.25
1988,Norway,0.422163002442816,2554,9.558333333333334,5.25
1988,Norway,0.1284445456615805,2556,9.558333333333334,5.25
1989,Norway,0.05222734254992318,8122,9.924999999999999,5.3
1989,Norway,0.7533783783783784,2553,9.924999999999999,5.3
1989,Norway,0.7015323117921386,2554,9.924999999999999,5.3
1989,Norway,0.15805055795946255,2556,9.924999999999999,5.3
1990,Norway,0.6166448230668414,2555,9.866666666666667,5.458333333333333
1990,Norway,0.916778523489933,8126,9.866666666666667,5.458333333333333
1990,Norway,0.16589861751152082,8122,9.866666666666667,5.458333333333333
1990,Norway,0.5101351351351351,2553,9.866666666666667,5.458333333333333
1990,Norway,1,2554,9.866666666666667,5.458333333333333
1990,Norway,0.26372124800728763,2556,9.866666666666667,5.458333333333333
1991,Norway,0.5943492866934815,2555,9.716666666666667,5.383333333333334
